CustomerID,Lookalikes
C0001,"[('C0184', 0.7476110778545957), ('C0152', 0.7212748406909891), ('C0192', 0.6948622886118307)]"
C0002,"[('C0159', 0.9033099926304784), ('C0134', 0.8243714511785681), ('C0038', 0.8165545383287598)]"
C0003,"[('C0052', 0.8440372361455322), ('C0076', 0.6250693858788448), ('C0129', 0.6211051482273996)]"
C0004,"[('C0113', 0.8995967084160772), ('C0108', 0.8841420841589008), ('C0104', 0.8651351580515599)]"
C0005,"[('C0007', 0.8659821143299351), ('C0159', 0.7985369213212044), ('C0140', 0.7956840773275878)]"
C0006,"[('C0187', 0.901776711332304), ('C0185', 0.7628840943971693), ('C0148', 0.7058002171180838)]"
C0007,"[('C0005', 0.8659821143299351), ('C0140', 0.819146407494963), ('C0120', 0.7594408466342035)]"
C0008,"[('C0098', 0.9065991723998927), ('C0109', 0.8282147642648898), ('C0156', 0.7792072380943961)]"
C0009,"[('C0010', 0.9060843871871146), ('C0077', 0.8718771780624728), ('C0060', 0.8292626644288705)]"
C0010,"[('C0009', 0.9060843871871146), ('C0198', 0.8924791014189312), ('C0199', 0.7923039190462136)]"
C0011,"[('C0174', 0.8974111296266836), ('C0169', 0.7994394055499967), ('C0118', 0.7939502198443738)]"
C0012,"[('C0195', 0.9289314584506896), ('C0039', 0.8131606135082949), ('C0065', 0.7921068600175196)]"
C0013,"[('C0087', 0.8123917520354724), ('C0099', 0.8104201757501603), ('C0143', 0.7750239473117435)]"
C0014,"[('C0097', 0.9327821396578926), ('C0180', 0.9223381814981159), ('C0058', 0.919739677839172)]"
C0015,"[('C0033', 0.7921240632176759), ('C0095', 0.7865033469331668), ('C0123', 0.780687636108767)]"
C0016,"[('C0117', 0.6718845456522367), ('C0183', 0.6253184415163062), ('C0126', 0.6128717163292614)]"
C0017,"[('C0075', 0.9440658788839106), ('C0057', 0.8556948355348383), ('C0041', 0.8538872338270126)]"
C0018,"[('C0026', 0.8622174507467311), ('C0117', 0.7746174587528575), ('C0114', 0.7716026833526374)]"
C0019,"[('C0119', 0.7811704851867551), ('C0121', 0.7590030536172957), ('C0010', 0.7359043995137106)]"
C0020,"[('C0110', 0.9216114144104444), ('C0080', 0.9018895704559461), ('C0144', 0.881324308712794)]"
